"Id","Currency","Amount","Category","Sub-Category","Date","Expense(Transfer Out)","Income(Transfer In)","Note","Periodic","Project","Payee/Payer","uid","Time"
"4618","INR","0","SYSTEM","INIT_AMOUNT","10100101","","Amex Gold Reward","","","","","B2CBBCDF4BAA45AD8BA72CD041623776",""
"4449","INR","0","SYSTEM","INIT_AMOUNT","10100101","","Icici Credit Card","","","","","F8FFCBEBF2EF4D81AAB11E870ED78E5B",""
"4260","INR","0","SYSTEM","INIT_AMOUNT","10100101","","Yes Bank Credit","","","","","4B574744BD844385A4E49C66C7EAACDF",""
"4245","INR","0","SYSTEM","INIT_AMOUNT","10100101","","City Credit Card","","","","","2",""
"4191","INR","0","SYSTEM","INIT_AMOUNT","10100101","","Myntra","","","","","138923BB2B074782BB4BC3F73011E73C",""
"4166","INR","0","SYSTEM","INIT_AMOUNT","10100101","","HDFC","","","","","36A40565ADD8488AAF4B62E33C5AFCA6",""
"4164","INR","0","SYSTEM","INIT_AMOUNT","10100101","","HDFC Credit Card","","","","","1F26E8348E684E2EB4574174DCC2B65A",""
"3944","INR","0","SYSTEM","INIT_AMOUNT","10100101","","BBcash","","","","","C8EF4BF488AD4C9381B70412D8637DE3",""
"3929","INR","0","SYSTEM","INIT_AMOUNT","10100101","","BBinstant","","","","","2AF542F0C9794515BF660F5A2413387E",""
"3864","INR","0","SYSTEM","INIT_AMOUNT","10100101","","MobiKwik","","","","","0E5F697952F94AD082D3ECF5C885CDA5",""
"2861","INR","0","SYSTEM","INIT_AMOUNT","10100101","","Mi","","","","","80BA19F2AF0B47918E8B9A9EB2BD5636",""
"2353","INR","0","SYSTEM","INIT_AMOUNT","10100101","","CITI bank","","","","","78FEAE951F2F4BE491F202D69D52A469",""
"2352","INR","0","SYSTEM","INIT_AMOUNT","10100101","","SBI bank","","","","","3",""
"2105","INR","0","SYSTEM","INIT_AMOUNT","10100101","","Koinex","","","","","6064869B5C574812AE53B5368A7E9F3C",""
"2104","INR","0","SYSTEM","INIT_AMOUNT","10100101","","Zerodha","","","","","607A893327A8436D96D416C2E84D8DA5",""
"2073","INR","0","SYSTEM","INIT_AMOUNT","10100101","","AmazonPay","","","","","056D02EFEC694D958519101797BDC4F9",""
"987","INR","1000","SYSTEM","INIT_AMOUNT","10100101","","Paytm","","","","","B0DC8785A4A94BA5B8AC2CEF03277E06",""
"28","INR","5000","Income","Salary","20160101","","SBI bank","","","","","16E99FFF59264645A3BBF8D7482479A9","2333"
"25","INR","2147","Online Shoping","Pants","20160105","SBI bank","","Two Jeans Peter England ，Tshirts Maroon","","","Paytm","37F56E68274847B59ECA0F86645AE2D2","2233"
"20","INR","960","Online Shoping","Accessories","20160105","SBI bank","","Wireless Mouse and Keyboard","","","Paytm","C68F1AD39EE64EEFB8842CCE63E37531","2213"
"49","INR","346","Personal 3C","Cell Phone","20160106","Cash","","290-TopUp and 56 Net on 18-01","","","Paytm","y0uXRcYt6lwJsdznQDmeLQ","1818"
"27","INR","75000","Income","Salary","20160106","","SBI bank","6 Jan","","","","9A913B8C43AF441D96B33B255CBE95FD","2332"
"19","INR","547","Online Shoping","Shirt","20160106","SBI bank","","Grey Cotton Tshirts","","","Paytm","4857789F51AD430D8C14B235797AC1E6","2213"
"18","INR","682","Online Shoping","Shirt","20160106","SBI bank","","SF Pantaloons Shirt","","","Paytm","88DF687D1CB94F7AB3CA178FB888DD17","2213"
"17","INR","216","Online Shoping","Accessories","20160106","SBI bank","","Gloves","","","Paytm","82D9B40550E04BC1B5BAA4DE04496D42","2213"
"6","INR","5028","Living","Rent","20160107","SBI bank","","Dec Rent and Jan Net","","","","B1F4383B604B430D98703A2E57D2AFEE","1645"
"3","INR","20000","Lend Money","Lending Money","20160107","SBI bank","","","","","Pranjal","B99D404371A84239B88D777248C7FA72","544"
"5","INR","40","Food","Milk-Product","20160108","Cash","","","","","","DD230CDC733E4588AA33E086862781C0","807"
"8","INR","20","Food","Milk-Product","20160109","Cash","","","","","","3825E4A6EF6445438656A4E3F7F87484","850"
"7","INR","630","Car/Bike","Maintenance","20160109","Cash","","Bike Service First Service","","","","4878F7FFCD144A7EB37D6D77901A7322","1320"
"13","INR","120","Food","Lunch","20160110","Cash","","","","","","19BB7C24630E4708BB81FAE9E608D1D0","2039"
"12","INR","136","Food","Refreshment","20160110","Cash","","Noodles，Masala plate，Soda","","","","5DEAE76FF9204326858D931D87F5D760","2036"
"11","INR","17","Food","Various","20160110","Cash","","Tomato Dhania","","","","636A43A48DB44763B0926E37206DC31C","2035"
"10","INR","40","Food","Various","20160110","Cash","","Water","","","","804108CD75874A13BEEDBA4E6819F2DB","1048"
"9","INR","40","Food","Milk-Product","20160110","Cash","","","","","","D8831870EE864B88A76159FA551FE909","850"
"15","INR","186","Food","Dinner","20160111","Cash","","Swiggy","","","","4448E63CA58248AC9EF44FE208AA8CDA","2150"
"14","INR","100","Food","Lunch","20160111","Cash","","","","","","5F18B6A0B1E54BD3A9AD1263D41DC304","2002"
"16","INR","100","Food","Dinner","20160112","Cash","","","","","","CCBAED22429C44418FBFFC8D58C6D788","2131"
"31","INR","70","Living","Various","20160113","Cash","","","","","","1C9AB4AD72D9472AA4AD973BBE3D9FB7","931"
"29","INR","20","Food","Milk-Product","20160113","Cash","","","","","","1FDBDD05FEBE4277B9D40CDEE93BF03B","2343"
"26","INR","20","Food","Vegetable","20160113","Cash","","Egg","","","","282E2A278AA54924B6759E9C34B2EE8C","2241"
"24","INR","50","Others","Kichen","20160113","Cash","","Stainless Chamcha","","","","4DCD1663D0A14FC5930AF591D8C9A4C6","2208"
"23","INR","10","Food","Various","20160113","Cash","","Washer","","","","5D74E1ADC3E34220AC9112E71620E10E","2204"
"22","INR","20","Food","Vegetable","20160113","Cash","","Tomato Dhania","","","","FD1D715510D74081989BD9429B871033","1000"
"21","INR","40","Food","Milk-Product","20160113","Cash","","","","","","663A4FDF3A4D4DF48BAB14005E59B0EF","1000"
"34","INR","452","Food","Splitwise","20160114","SBI bank","","","","","Hardik","90F245128C5A481D8076DE167F4EDBB9","2155"
"33","INR","20","Food","Milk-Product","20160114","Cash","","","","","","3EC2A607A5154E009F7B83E258FB9864","2154"
"32","INR","15","Food","Vegetable","20160114","Cash","","Methi LEMON","","","","5FCEC6FC709247E8B9AD2A6A7ACEC15E","2154"
"30","INR","1300","Car/Bike","Petrol","20160114","Cash","","1000 from start and 300 today","","","","BDC57748AF0B4881A5140BBD0880B714","906"
"73","INR","250","Lend Money","Lending Money","20160115","Cash","","Mallikaarjun-paid on 12-05-16","","","","72598C3BBD3A40A58A3515D0F9CD6840","1230"
"39","INR","47","Others","CommonThings","20160115","Cash","","Dabur Lal Dant","","","","0A01BE5723A440FEA74EEDD3BAB0CE86","2344"
"38","INR","24","Food","Dinner","20160115","Cash","","Yepppi","","","","00011BE14EFC4224A0ED0F3C8E8CF516","2343"
"37","INR","356","Food","Vegetable","20160115","Cash","","Flour，Ginger Garlic Past，Shoap","","","","17712DE415DB4AEAB01D7FC9BB743834","2339"
"36","INR","85","Others","CommonThings","20160115","Cash","","Hair oil","","","","2E3EFF24A25548CCACD0BDA85B39230F","2114"
"35","INR","65","Food","Milk-Product","20160115","Cash","","Cheese","","","","F03E995E6F8E4DEF9C375CCB856F664B","2004"
"45","INR","30","Car/Bike","Parking","20160116","Cash","","Orion Mall","","","","5DEF8B3BB4594430AFF1C26596F3CF1E","849"
"44","INR","40","Food","Various","20160116","Cash","","Water","","","","52B9BE96488043BC80A0AE10E9677ADB","847"
"43","INR","15","Food","Refreshment","20160116","Cash","","","","","","37981D3ABF0F45D8BCD50DE68464273E","847"
"42","INR","20","Food","Milk-Product","20160116","Cash","","","","","","F42109A9B6774B279351440FC79B7102","948"
"41","INR","68","Food","Vegetable","20160116","Cash","","Tomato Onion bhindi","","","","CCDAAB56A19741DC9AE10CD01814F580","947"
"40","INR","100","Food","Kichen","20160116","Cash","","","","","","F2F56561DE0C402BB90CFC81DF3EC43E","945"
"47","INR","83","Food","Milk-Product","20160117","Cash","","Egg bread Milk","","","","38A9D6BD58924542908B5B42B5FE8BF4","1030"
"46","INR","61","Food","Vegetable","20160117","Cash","","Began dhania baG aloo","","","","7E47555E626D4553B6E1A01ED05EAF14","1030"
"48","INR","24","Food","Vegetable","20160118","Cash","","5-Egg","","","","7CC495D986CB484DB74ACA5F2B8F4E42","956"
"53","INR","70","Food","Dinner","20160119","Cash","","Krishna Sagar Ice Cream","","","","6B15DF3B5E45497A8AA29E377E555606","2024"
"52","INR","26","Food","Vegetable","20160119","Cash","","Tomato","","","","182D2B793D444CD6BD46B68CC2C227C4","2024"
"51","INR","75","Food","Refreshment","20160119","Cash","","MilkPeda","","","","403BA2F4277E40A39ABCC1E0B400088A","2023"
"50","INR","250","Social","Gifts","20160119","Cash","","Marriage Gift to Anuja and Shrinivas","","","I.am.plus","36E610BC8EB74E56896C330FDE31B749","2022"
