DigitalOrderItemId,DeliveryPacketId,AffectedItemQuantity,TransactionAmount,BaseCurrencyCode,ClaimCode,FXTransactionAmount,FXCurrencyCode,MonetaryComponentTypeCode,OfferTypeCode
MI8DQUJ8VM4I6N72CDPVLDUKKHUPUGKA6S0G1OVP5A0J7SLNJIB0,NVUM94GFJDFBTTCKP4H065SRQ7E3A8NCG7UES3CFVN7C87GBEFK0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
MI8DQUJ8VM4I6N72CDPVLDUKKHUPUGKA6S0G1OVP5A0J7SLNJIB0,NVUM94GFJDFBTTCKP4H065SRQ7E3A8NCG7UES3CFVN7C87GBEFK0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
OSH7NOIB2BB2LV3THPAVSFE6EELKSOTP38BO9LDD9THCRAU7CFPG,MEB51FDBV7C531SIC7B4J2G3R1OGH57E3MD6CFF29F70DRLOU3G0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
OSH7NOIB2BB2LV3THPAVSFE6EELKSOTP38BO9LDD9THCRAU7CFPG,MEB51FDBV7C531SIC7B4J2G3R1OGH57E3MD6CFF29F70DRLOU3G0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
OSH7NOIB2BB2LV3THPAVSFE6EELKSOTP38BO9LDD9THCRAU7CFPG,MEB51FDBV7C531SIC7B4J2G3R1OGH57E3MD6CFF29F70DRLOU3G0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
OSH7NOIB2BB2LV3THPAVSFE6EELKSOTP38BO9LDD9THCRAU7CFPG,MEB51FDBV7C531SIC7B4J2G3R1OGH57E3MD6CFF29F70DRLOU3G0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
OSH7NOIB2BB2LV3THPAVSFE6EELKSOTP38BO9LDD9THCRAU7CFPG,MEB51FDBV7C531SIC7B4J2G3R1OGH57E3MD6CFF29F70DRLOU3G0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
OSH7NOIB2BB2LV3THPAVSFE6EELKSOTP38BO9LDD9THCRAU7CFPG,MEB51FDBV7C531SIC7B4J2G3R1OGH57E3MD6CFF29F70DRLOU3G0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
OSH7NOIB2BB2LV3THPAVSFE6EELKSOTP38BO9LDD9THCRAU7CFPG,MEB51FDBV7C531SIC7B4J2G3R1OGH57E3MD6CFF29F70DRLOU3G0,1,119.28,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
OSH7NOIB2BB2LV3THPAVSFE6EELKSOTP38BO9LDD9THCRAU7CFPG,MEB51FDBV7C531SIC7B4J2G3R1OGH57E3MD6CFF29F70DRLOU3G0,1,5.96,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
