OrderId,PaymentCode,PaymentInformation,IsActive,PaymentAmount,BaseCurrencyCode,ForeignExchangeRate,ForeignExchangeCurrencyCode,AmountPaidFromAmazonAccount
D01-5014010-5864659,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-6487902-1400600,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-6487902-1400600,Payment Instrument Deleted,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-0251631-5531817,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-3539181-1506265,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-3163056-8491854,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-5988898-5135065,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-0079386-7391038,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-1095859-9589433,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-4777783-7666268,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-4270059-0168613,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-7586241-8114210,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-7558132-5250205,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-4227641-6808618,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-2906922-6997467,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-8761980-3311023,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-8374757-5378233,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-9391263-5637432,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-2048585-2699844,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-7505412-9106254,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-1705674-7179802,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-3826500-4597421,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-3274674-9701416,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-2897203-0789429,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-3635046-8514215,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-8517039-1336652,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-7629925-4482263,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
