"DateAddedToCart","Source","ASIN","CartDomain","CartList","Quantity","OneClickBuyable","ToBeGiftWrapped","PrimeSubscription","Pantry","AddOn"
"2025-01-05T16:59:59.391Z","Retail","B079H7W8ST","Not Applicable","saved","1","No","No","No","No","No"
"2025-01-05T16:58:42.786Z","Retail","B0152ROCJ0","Not Applicable","saved","2","No","No","No","No","No"
"2024-11-17T14:54:10.147Z","Retail","B095MZKKNG","Not Applicable","saved","1","No","No","No","No","No"
"2024-11-14T03:51:31.170Z","Retail","B0BBWD3DBJ","Not Applicable","saved","1","No","No","No","No","No"
"2024-11-14T03:49:11.227Z","Retail","B0BVZ79VB2","Not Applicable","saved","1","No","No","No","No","No"
"2024-11-14T03:39:05.410Z","Retail","B07CBCFNFJ","Not Applicable","saved","1","No","No","No","No","No"
"2024-11-14T03:34:37.187Z","Retail","B09GYYNQDV","Not Applicable","saved","1","No","No","No","No","No"
"2024-11-14T03:31:17.361Z","Retail","B0842CZSR9","Not Applicable","saved","1","No","No","No","No","No"
"2024-10-26T17:37:23.393Z","Retail","B0B8SNTD7G","Not Applicable","saved","1","No","No","No","No","No"
"2024-10-23T16:55:09.602Z","Retail","B093HFFFKM","Not Applicable","saved","1","No","No","No","No","No"
"2024-09-29T18:50:06.065Z","Retail","B07NQKX4Q2","Not Applicable","saved","1","No","No","No","No","No"
"2024-09-29T18:42:27.770Z","Retail","B00RAETYWE","Not Applicable","saved","1","No","No","No","No","No"
"2024-09-29T18:01:30.653Z","Retail","B084SF23T5","Not Applicable","saved","1","No","No","No","No","No"
"2024-09-29T17:56:35.917Z","Retail","B0CXTN2LPC","Not Applicable","saved","1","No","No","No","No","No"
"2024-09-26T04:23:14.382Z","Retail","B07GL1976K","Not Applicable","saved","1","No","No","No","No","No"
"2024-09-25T19:54:01.955Z","Retail","B077P6BQP7","Not Applicable","saved","1","No","No","No","No","No"
"2024-08-07T09:59:21.493Z","Retail","B0CZTD7TFS","Not Applicable","saved","1","No","No","No","No","No"
"2024-05-06T18:54:09.925Z","Retail","B09YP37XB6","Not Applicable","saved","1","No","No","No","No","No"
"2024-05-06T18:52:44.488Z","Retail","B0CWTSTQJT","Not Applicable","saved","1","No","No","No","No","No"
"2024-05-06T18:50:53.228Z","Retail","B0C6XRC6H4","Not Applicable","saved","1","No","No","No","No","No"
"2024-05-06T18:50:18.957Z","Retail","B0CWTWFKJK","Not Applicable","saved","1","No","No","No","No","No"
"2024-05-06T18:45:06.093Z","Retail","B0CFTW7XXH","Not Applicable","saved","1","No","No","No","No","No"
"2024-05-05T12:59:13.810Z","Retail","B09TWG74JM","Not Applicable","saved","1","No","No","No","No","No"
"2024-05-05T12:19:26.243Z","Retail","B0BW3NDGQF","Not Applicable","saved","2","No","No","No","No","No"
"2024-05-04T04:31:18.241Z","Retail","B08M63D84T","Not Applicable","saved","1","No","No","No","No","No"
"2024-05-03T03:16:19.477Z","Retail","B010M4E4GY","Not Applicable","saved","1","No","No","No","No","No"
"2024-04-27T05:33:05.080Z","Retail","B07VH3PGSH","Not Applicable","saved","1","No","No","No","No","No"
"2024-04-24T16:38:33.888Z","Retail","B0BGB88SMQ","Not Applicable","saved","1","No","No","No","No","No"
"2024-04-18T03:04:54.630Z","Retail","B08GHQ7H54","Not Applicable","saved","1","No","No","No","No","No"
"2024-04-18T03:04:17.051Z","Retail","B07TTN11M1","Not Applicable","saved","1","No","No","No","No","No"
"2024-04-18T03:01:58.116Z","Retail","B08MBYB5XR","Not Applicable","saved","1","No","No","No","No","No"
"2024-04-18T02:59:27.405Z","Retail","B07F5WRFXB","Not Applicable","saved","1","No","No","No","No","No"
"2024-04-10T12:50:41.436Z","Retail","B0BSTZFG3M","Not Applicable","saved","1","No","No","No","No","No"
"2024-04-09T11:31:59.928Z","Retail","B01BIWBHDW","Not Applicable","saved","1","No","No","No","No","No"
"2024-04-04T18:30:50.559Z","Retail","B09SD315VM","Not Applicable","saved","1","No","No","No","No","No"
"2024-03-30T11:23:00.336Z","Retail","B08H2WWD9F","Not Applicable","saved","1","No","No","No","No","No"
"2024-03-30T11:20:17.077Z","Retail","B09SGGPFM1","Not Applicable","saved","1","No","No","No","No","No"
"2024-03-23T15:36:26.444Z","Retail","B0BZHWVWB1","Not Applicable","saved","2","No","No","No","No","No"
"2024-03-23T06:13:43.590Z","Retail","B07QJXFWYX","Not Applicable","saved","1","No","No","No","No","No"
"2024-03-16T13:50:38.048Z","Retail","B07CRKVMWL","Not Applicable","saved","2","No","No","No","No","No"
"2024-03-14T05:46:06.979Z","Retail","B0BW9C6Z7X","Not Applicable","saved","1","No","No","No","No","No"
"2024-03-14T03:32:25.268Z","Retail","B08X2H7QTM","Not Applicable","saved","1","No","No","No","No","No"
"2024-03-14T00:59:24.853Z","Retail","B09YYPPYYJ","Not Applicable","saved","1","No","No","No","No","No"
"2024-03-14T00:42:36.856Z","Retail","B09YYJL6V9","Not Applicable","saved","1","No","No","No","No","No"
"2024-02-28T17:09:28.644Z","Retail","B00CGVFFS8","Not Applicable","saved","2","No","No","No","No","No"
"2024-02-28T16:56:11.316Z","Retail","B097S4DPRV","Not Applicable","saved","1","No","No","No","No","No"
"2024-02-27T14:08:13.437Z","Retail","B0BZ415W2N","Not Applicable","saved","1","No","No","No","No","No"
"2024-02-11T09:05:27.015Z","Retail","B081L6VKGH","Not Applicable","saved","1","No","No","No","No","No"
"2024-01-18T17:33:35.577Z","Retail","B07XS46Q73","Not Applicable","saved","1","No","No","No","No","No"
"2024-01-16T12:36:14.017Z","Retail","B0BDG4VG2G","Not Applicable","saved","1","No","No","No","No","No"
"2024-01-13T18:04:39.974Z","Retail","B07GTNXQPD","Not Applicable","saved","2","No","No","No","No","No"
"2024-01-13T16:05:40.309Z","Retail","B0B2R6WXGC","Not Applicable","saved","1","No","No","No","No","No"
"2024-01-12T18:35:04.222Z","Retail","B0BL7KV2V9","Not Applicable","saved","1","No","No","No","No","No"
"2024-01-10T01:47:14.377Z","Retail","B07KPZ7YJJ","Not Applicable","saved","2","No","No","No","No","No"
"2024-01-09T15:52:36.880Z","Retail","B07Y8HSY1T","Not Applicable","saved","3","No","No","No","No","No"
"2023-12-27T02:54:39.720Z","Retail","B0CGRMB7MV","Not Applicable","saved","1","No","No","No","No","No"
"2023-12-17T00:42:48.767Z","Retail","B00RAEVVCK","Not Applicable","saved","1","No","No","No","No","No"
"2023-12-04T17:01:45.480Z","Retail","B09LSH9H4Q","Not Applicable","saved","1","No","No","No","No","No"
"2023-11-10T05:15:26.419Z","Retail","B071YFDJY9","Not Applicable","saved","1","No","No","No","No","No"
"2023-11-08T16:41:14.806Z","Retail","B00MGFZ656","Not Applicable","saved","1","No","No","No","No","No"
"2023-10-28T08:47:16.052Z","Retail","B0C3XVNMMT","Not Applicable","saved","1","No","No","No","No","No"
"2023-10-13T20:17:21.986Z","Retail","B08H2Y91P1","Not Applicable","saved","1","No","No","No","No","No"
"2023-10-11T17:29:23.830Z","Retail","B07FPYN3Q5","Not Applicable","saved","1","No","No","No","No","No"
"2023-10-09T01:17:40.197Z","Retail","B09PC695Q9","Not Applicable","saved","2","No","No","No","No","No"
"2023-10-08T04:51:44.137Z","Retail","B09XMK46ST","Not Applicable","saved","1","No","No","No","No","No"
"2023-10-07T21:25:05.074Z","Retail","B07G5H1HQV","Not Applicable","saved","2","No","No","No","No","No"
"2023-10-07T00:10:42.714Z","Retail","B07CXRX7S1","Not Applicable","saved","1","No","No","No","No","No"
"2023-10-06T14:29:05.206Z","Retail","B084ZGJ8H5","Not Applicable","saved","3","No","No","No","No","No"
"2023-10-06T10:10:21.333Z","Retail","B0BWN8ZF7M","Not Applicable","saved","3","No","No","No","No","No"
"2023-10-06T10:09:43.586Z","Retail","B08WCNZW2M","Not Applicable","saved","1","No","No","No","No","No"
"2023-10-06T10:05:30.115Z","Retail","B08N28TN4Z","Not Applicable","saved","2","No","No","No","No","No"
"2023-10-02T03:49:22.850Z","Retail","B08GXTCCNY","Not Applicable","saved","1","No","No","No","No","No"
"2023-10-02T03:45:39.977Z","Retail","B00MHP9DA4","Not Applicable","saved","1","No","No","No","No","No"
"2023-09-30T03:31:31.176Z","Retail","B00ICIKIIG","Not Applicable","saved","1","No","No","No","No","No"
"2023-09-07T07:41:22.553Z","Retail","B07MZ6PZ82","Not Applicable","saved","1","No","No","No","No","No"
"2023-09-07T03:55:40.735Z","Retail","B08D3N53JT","Not Applicable","saved","1","No","No","No","No","No"
"2023-08-29T05:17:46.442Z","Retail","B0C7H8Y9PD","Not Applicable","saved","1","No","No","No","No","No"
"2023-08-04T15:35:36.611Z","Retail","B09PLHCPCL","Not Applicable","saved","1","No","No","No","No","No"
"2023-08-04T15:31:43.760Z","Retail","B083SPLJZD","Not Applicable","saved","1","No","No","No","No","No"
"2023-08-04T01:00:50.498Z","Retail","B0014GRSBI","Not Applicable","saved","1","No","No","No","No","No"
