Return Authorization Id,Tracking Id,Return Creation Date,Order Id,Return Ship Option,Carrier Package Id,
DVQ5RWxFRRMA,514386168914,2024-11-30T13:18:21Z,408-3445979-9254714,ATS_CarrierPickup,Not Available,
D6M7hSRJRRMA,514381593438,2024-11-26T13:50:20Z,402-4801609-5082735,Pickup,Not Available,
DyCrj4RPRRMA,627768504030,2024-11-12T11:27:43Z,404-4335703-0888336,Pickup,Not Available,
D65D8ZR0RRMA,627633623408,2024-10-17T03:39:05Z,402-5988560-4041964,Pickup,Not Available,
Dc5g8LR0RRMA,627633603615,2024-10-17T03:36:58Z,402-8122432-5431534,Pickup,Not Available,
DVz68XRbRRMA,627617136139,2024-10-14T11:45:25Z,402-7598672-4255522,Pickup,Not Available,
DGzd84RkRRMA,514317424485,2024-10-14T11:43:48Z,402-6795133-8037122,ATS_CarrierPickup,Not Available,
D9PC8DR4RRMA,627603881036,2024-10-12T08:24:21Z,407-0516450-7227543,Pickup,Not Available,
D94GXBRZRRMA,627600049187,2024-10-11T14:06:18Z,407-0516450-7227543,Pickup,Not Available,
Dw8tX7RpRRMA,627593946425,2024-10-10T14:53:50Z,407-9276764-2214754,Pickup,Not Available,
DMBnXjR8RRMA,627592722969,2024-10-10T12:13:04Z,402-0952392-1989124,Pickup,Not Available,
DlV7XCRYRRMA,627590002902,2024-10-10T05:43:09Z,407-9824657-7319523,Pickup,Not Available,
DRSBCLRqRRMA,627567265279,2024-10-06T17:43:07Z,408-1188871-0230723,Pickup,Not Available,
D1qjCyRpRRMA,627533172334,2024-10-01T11:21:40Z,407-0740016-5477962,Pickup,Not Available,
D1qNCDRGRRMA,Not Available,2024-10-01T11:02:47Z,407-8897950-9531503,Pickup,Not Available,
DCHTnGRWRRMA,514174940074,2024-07-03T01:18:28Z,408-5871092-7367533,ATS_CarrierPickup,Not Available,
DRmnxsRfRRMA,Not Available,2024-06-29T06:33:24Z,171-5761561-5422743,Pickup,Not Available,
Ddy232RBRRMA,514162450455,2024-06-22T12:19:12Z,405-7922967-2157945,Pickup,Not Available,
DzDbrPRXRRMA,627032894195,2024-05-24T02:05:30Z,405-8489266-2110702,Pickup,Not Available,
DJXr7GRDRRMA,627014644770,2024-05-18T12:00:05Z,407-4850818-3158711,Pickup,Not Available,
D6XW79RYRRMA,627014631107,2024-05-18T11:58:16Z,407-4850818-3158711,Pickup,Not Available,
D6KGLNRbRRMA,514110320779,2024-05-12T02:08:48Z,407-7932490-5815501,ATS_CarrierPickup,Not Available,
D3KrLNRbRRMA,626990450023,2024-05-12T02:06:09Z,405-6164409-4034760,Pickup,Not Available,
Dd2GL9RFRRMA,626979355578,2024-05-09T01:38:44Z,407-6620777-9220322,Pickup,Not Available,
DC95LMRMRRMA,626976396871,2024-05-08T06:34:28Z,407-6620777-9220322,Pickup,Not Available,
